name,@lat,@lon
Indian Oil,28.5043431,77.1719993
Panchshila Service Station,28.5614441,77.2227829
Indraprastha Gas Limited,28.6818859,77.2297995
Indian Oil,28.5855272,77.3092979
CNG Fuel Station,28.5959237,77.0290084
Bharat Petroleum,28.5632467,77.2647429
Unnamed Station,28.5217581,77.1667456
Badarpur Service Station,28.6196369,77.3411167
Unnamed Station,28.6198358,77.340798
IGL,28.5721052,77.1375135
IGL,28.5699619,77.1964421
Unnamed Station,28.5385446,77.1326402
IGL,28.6628309,77.1295389
IGL,28.5532352,77.1804718
Indraprastha Gas Station,28.5675278,77.1756357
HP,28.4945252,77.3035906
IGL,28.5477136,77.255391
Unnamed Station,28.6503691,77.2682627
IGL,28.6292758,77.3216955
Unnamed Station,28.7065133,77.1852815
Unnamed Station,28.6854999,77.1487473
IGL-CNG Station,28.4461217,77.5432877
Unnamed Station,28.3977915,76.9324879
Unnamed Station,28.6184777,77.2485296
Unnamed Station,28.608699,77.2528266
HP PETROL PUMP,28.6752663,77.291325
Unnamed Station,28.4869358,77.1878285
IGL,28.5960084,77.3726805
Unnamed Station,28.6401874,77.2564926
Unnamed Station,28.7210617,77.2171553
Indian Oil,28.5647065,77.1776294
Unnamed Station,28.4580532,77.0471274
Unnamed Station,28.6230435,77.3112121
Haryana City Gas (HCG) CNG Pump,28.4521322,77.0750832
IGL,28.6297886,77.3123994
Unnamed Station,28.7304458,77.1177382
HP,28.6021226,77.230004
Indian Oil,28.5707726,77.1634031
M/s. Shivan Auto Centre,28.6214529,77.3016024
Indian Oil,28.5676403,77.2539281
Indraprastha CNG,28.6555917,77.3494564
IGL,28.7456139,77.1513009
India Gas Limited CNG Station,28.6965492,77.291455
IGL,28.5309301,77.2322484
Unnamed Station,28.8557812,77.1244039
Unnamed Station,28.8546443,77.1245707
Unnamed Station,28.8536847,77.1247761
GBU- CHARGING STATION,28.4245864,77.5209994
BISRAKH FCS,28.5745777,77.444915
botanical charging station,28.5652022,77.3343845
Indian Oil,28.6328586,77.3511532
HP,28.5857811,77.240414
Indian Oil,28.6248833,77.3053031
Unnamed Station,28.6258088,77.3145833
Unnamed Station,28.6730604,77.2831968
Unnamed Station,28.7234863,77.1650384
CNG Station Dheer Pur,28.7211094,77.2174998
INDRAPRASTHA GAS LIMITED CNG STATION,28.6858844,77.3186479
Unnamed Station,28.8420837,77.1017212
HCG,28.4496991,77.091059
Unnamed Station,28.425844,77.0258716
Unnamed Station,28.4273694,77.0233424
Unnamed Station,28.4280864,77.0211133
Unnamed Station,28.4398333,77.0036102
Unnamed Station,28.4497928,76.9968698
IGL,28.4060717,77.0431476
Unnamed Station,28.5375585,77.1532348
Unnamed Station,28.7329031,77.5589782
Indraprastha Gas Limited,28.6066207,77.1416597
Indraprastha Gas Limited,28.6861065,77.3308114
